Megnevezés;Eredeti elõirányzat
Társadalombiztosítási alapok bevételei (B1);7,55989E+12
Nyugdíjbiztosítás bevételei (B12);4,16998E+12
Társadalombiztosítási járulék és nyugdíjjárulék (B121);1,8277E+12
Szociális hozzájárulási adó (SZOCHO) (B122);1,7584E+12
Kiadások támogatására tervezett pénzeszközök (B123);3,25607E+11
Tizenharmadik havi nyugdíj visszaépítésének támogatása (B124);1,6034E+11
Egyéb nyugdíjbiztosítási bevételek (B125);97931600000
Nyugdíjprémium céltartalék támogatása (B1251);68460000000
Egyszerûsített foglalkoztatás utáni közteher (B1252);19100000000
Kifizetések visszatérülése és egyéb bevételek (B1253);5657600000
Késedelmi pótlék, bírság (B1254);4100000000
Megállapodás alapján fizetõk járulékai (B1255);600000000
Vagyongazdálkodás bevételei (B1256);14000000
Egészségbiztosítás bevételei (B11);3,38991E+12
Társadalombiztosítási járulék és egészségbiztosítási járulék (B111);1,2546E+12
Szociális hozzájárulási adó (SZOCHO) (B112);6,962E+11
Járulék címen átvett pénzeszköz (B113);4,9135E+11
Egészségügyi béremelés támogatására átvett pénzeszköz (B114);4,5882E+11
Kiadások támogatására tervezett pénzeszközök, egészségügyi feladatok ellátásával kapcsolatos költségvetési hozzájárulás (B115);2,86157E+11
Egyéb egészségbiztosítási bevételek (B116);2,0278E+11
Egyéb járulékok és hozzájárulások (B1161);76900000000
Gyógyszergyártói és forgalmazói befizetések (B1162);1,0576E+11
Baleseti és egyéb kártérítési megtérítések, kifizetések visszatérítése és egyéb térítési díj bevétel (B1163);9967300000
Nemzetközi egyezménybõl eredõ ellátások megtérítése (B1164);7188300000
Késedelmi pótlék, bírság bevételei (B1165);2300000000
Központi hivatali szerv bevételei (B1166);419800000
Egészségügyi szolgáltatók visszafizetése (B1167);230000000
Vagyongazdálkodás bevételei (B1168);13700000
Nagyértékû gyógyszerfinanszírozást biztosító gyógyszergyártói és forgalmazói befizetések (B1169);1000000
Állami szervek, alapok és az állam közvetlen bevételei (B2);3,46373E+12
Állami szervek bevételei (B21);1,62081E+12
Emberi Erõforrások Minisztériuma (EMMI) fejezeti bevételei (B2101);1,20193E+12
Egészségügyi intézetek bevételei (B21011);1,15042E+12
Gyógyító-megelõzõ ellátás intézeteinek bevételei (B210111);1,04815E+12
Országos Mentõszolgálat (OMSZ) bevételei (B210112);64729700000
Országos Vérellátó Szolgálat (OVSZ) bevételei (B210113);21139700000
