Megnevezés;Eredeti elõirányzat
Társadalombiztosítási alapok kiadásai (K1);7,79E+12
Nyugdíjbiztosítási Alap kiadásai (K101);4,17E+12
Öregségi nyugdíj kiadásai (K10101);3,52E+12
Korhatár felettiek öregségi nyugdíjának kiadásai (K1010101);3,19E+12
Nõk korhatár alatti nyugellátásának kiadásai (K1010102);3,32E+11
Hozzátartozói nyugellátás kiadásai (K10102);4,13E+11
Árvaellátás kiadásai (K1010201);38660000000
Özvegyi nyugellátás kiadásai (K1010202);3,74E+11
Tizenharmadik havi nyugdíj és nyugdíjprémiumok kiadásai (K10103);2,29E+11
Nyugdíjprémium céltartalék (K1010301);68460000000
Tizenharmadik havi nyugdíj kiadásai (K1010302);1,60E+11
Egyéb nyugdíjbiztosítási kiadások (K10104);7918800000
Egyösszegû méltányossági kifizetések (egyszeri segély) (K1010401);600000000
Nyugellátás postaköltségei (K1010402);6013800000
Egyéb nyugellátáshoz kapcsolódó kiadások (K1010403);1302000000
Nyugellátás - vagyongazdálkodás (K1010404);3000000
Egészségbiztosítási Alap kiadásai (K102);2,95E+12
Összevont szakellátás (K10201);9,23E+11
Egészségügyi ellátás - célerõirányzatok (K10202);6,02E+11
Csecsemõ- és gyermekgondozási díj (K10203);3,95E+11
Csecsemõgondozási díj (K1020301);1,28E+11
Gyermekgondozási díj és örökbefogadói díj (K1020302);2,67E+11
Táppénz kiadások (K10204);1,82E+11
Rokkantsági, rehabilitációs ellátások kiadásai (K10205);3,01E+11
Háziorvosi és védõnõi szolgáltatás, fogászat kiadásai (K10206);3,54E+11
Háziorvosi, háziorvosi ügyeleti ellátás (K1020601);2,45E+11
Védõnõi szolgáltatás, anya-, gyermek- és ifjúságvédelem (K1020602);27250000000
Fogászati ellátás (K1020603);82370300000
Egyéb egészségügyi kiadások (K10207);1,94E+11
Mentés támogatása (K1020701);45560500000
Laboratóriumi ellátás támogatása (K1020702);24266100000
Sürgõsségi ellátás támogatása (K1020703);21092400000
Mûvesekezelés támogatása (K1020704);27771100000
Gyógyító-megelõzõ ellátás céltartalék (K1020705);10281100000
Betegszállítás és orvosi rendelvényû halottszállítás (K1020706);9796900000
Kártérítési és baleseti járadék (K1020707);9191400000
Gyógyszertárak juttatása és szolgáltatási díja (K1020708);8600000000
Otthoni szakápolás (K1020709);6480800000
Utazási költségtérítés (K1020710);5176500000
Egészségbiztosítási költségvetési szervek (K1020711);6975000000
Egészségügyi ellátás egyéb kiadásai (K1020712);18883800000
Egyszeri segély (K102071201);450000000
Gyógyfürdõ és egyéb gyógyászati ellátás támogatása (K102071202);4200000000
Anyatej-ellátás (K102071203);200000000
Külföldön tervezett egészségügyi ellátások megtérítése (K102071204);100000000
Külföldön történt speciális egészségügyi ellátások, igénybevett egészségügyi szolgáltatások (K102071205);2869600000
Természetbeni ellátások céltartaléka (K102071206);4000000000
Kifizetõhelyeket megilletõ költségtérítés (K102071207);3446400000
Egészségügyhöz kapcsolódó postaköltség (K102071208);3223900000
Egyéb egészségügyi kiadások (K102071209);381100000
Egészségügy - vagyongazdálkodás (K102071210);12800000
Gyógyszerek és gyógyászati segédeszközök kiadásai (K10208);6,50E+11
Gyógyszertámogatás kiadásai (K1020801);3,44E+11
Gyógyszertámogatási céltartalék (K1020802);1,06E+11
Gyógyászati segédeszköz támogatás (K1020803);80302000000
Egyéb gyógyászati segédeszköz támogatás és kölcsönzés támogatása (K102080301);59302000000
Egyedi készítésû gyógyászati segédeszköz támogatás (K102080302);21000000000
Nagyértékû gyógyszerfinanszírozás támogatása (K1020804);1,20E+11
Járvány elleni védekezési alap kiadásai (K103);20000000000
Alapok, támogatások és az állam közvetlen kiadásai (K2);3,22E+12
A költségvetés közvetlen kiadásai (K201);2,12E+12
Garancia és hozzájárulás és társadalombiztosítási ellátásokhoz (K20101);1,10E+12
Nyugdíjbiztosítási Alap támogatása (K2010101);3,26E+11
Egészségbiztosítási és Járvány Elleni Védekezési Alap kiadásainak támogatása (K2010102);2,81E+11
Egészségbiztosítási és Járvány Elleni Védekezési Alap járulékainak támogatása (K2010103);4,91E+11
Hozzájárulás az Európai Unió költségvetéséhez (K20102);5,65E+11
Elkülönített alapok költségvetési támogatásainak kiadásai (K20103);3,67E+11
Szociálpolitikai Menetdíj támogatás (K2010301);1,20E+11
Babaváró támogatások (K2010302);91454700000
Gazdaság-újraindítási Foglalkoztatási Alap támogatása (K2010303);49800000000
Nemzeti Kutatási, Fejlesztési és Innovációs Alap támogatása (K2010304);38546600000
Bethlen Gábor Alap támogatása (K2010305);33830800000
Központi Nukleáris Pénzügyi Alap támogatása (K2010306);27801900000
Diákhitel konstrukciók támogatása (K2010307);5196000000
A költségvetés egyéb közvetlen kiadásai (K20104);88963100000
Állam által vállalt kezesség és viszontgarancia érvényesítésének kiadásai (K2010401);47014000000
Garantiqa Hitelgarancia Zrt. garanciaügyleteibõl eredõ fizetési kötelezettség (K201040101);35000000000
Agrár-Vállalkozási Hitelgarancia Alapítvány garanciaügyleteibõl eredõ fizetési kötelezettség (K201040102);8000000000
MEHIB Zrt. általi biztosítási tevékenységbõl eredõ fizetési kötelezettség (K201040103);3000000000
Eximbank Zrt. által vállalt garanciaügyletekbõl eredõ fizetési kötelezettség (K201040104);500000000
MFB Zrt. hiteleibõl és garanciaügyleteibõl eredõ fizetési kötelezettség (K201040105);500000000
Lakáshitelekhez vállalt kezességbõl eredõ fizetési kötelezettség (K201040106);14000000
Nemzetközi pénzügyi intézmények felé vállalt kötelezettségek kiadásai (K2010402);16153400000
Nemzetközi Újjáépítési és Fejlesztési Bank (IBRD) alaptõkeemelés (K201040201);2199800000
Nemzetközi Pénzügyi Társaság (IFC) tõkeemelés (K201040202);2756700000
Európa Tanács Fejlesztési Bank (CEB) tagdíj (K201040203);4300000
Bruegel tagdíj (K201040204);36800000
Nemzetközi Beruházási Bank (NBB) tõkeemelés (K201040205);2979200000
Nemzetközi Fejlesztési Társulás (IDA) alaptõke-hozzájárulás (K201040206);1909400000
Nemzetközi pénzügyi intézményekkel kapcsolatos egyéb kiadások (K201040207);6267200000
Egyéb közvetlen kiadások (K2010403);25795700000
Felszámolásokkal és szanálással kapcsolatos kiadások (K201040301);2000000000
Magán- és egyéb jogi személyek kártérítése (K201040302);200000000
Egyéb vegyes kiadások (K201040303);8100000000
Személyi jövedelemadó 1% közcélú felhasználása (K201040304);10800000000
Mehib és Eximbank behajtási jutaléka (K201040305);35000000
Gazdálkodó szervezetek által befizetett termékdíj-visszaigénylés (K201040306);2200000000
Pénzbeli kárpótlások kiadásai (K201040307);1769200000
Árfolyamkockázat és egyéb, EU által nem térített kiadások (K201040308);690000000
Követeléskezelés költségei (K201040308);1500000
Alapok és támogatások kiadásai (K202);1,10E+12
Helyi önkormányzatok támogatásai (K20201);8,73E+11
Általános önkormányzati támogatás (K2020101);3,04E+11
A települési önkormányzatok mûködésének általános támogatása (K202010101);2,67E+11
A helyi önkormányzatok általános feladatainak mûködési célú támogatása (K202010102);37683100000
Önkormányzati köznevelési feladatok támogatása (K2020102);2,17E+11
Önkormányzati szociális feladatok támogatása (K2020103);3,03E+11
A települési önkormányzatok egyes szociális és gyermekjóléti feladatainak támogatása (K202010301);1,81E+11
A települési önkormányzatok gyermekétkeztetési feladatainak támogatása (K202010302);87231100000
A települési önkormányzatok egyes szociális és gyermekjóléti feladatainak mûködési célú támogatása (K202010303);35260600000
Önkormányzati kulturális feladatok támogatása (K2020104);35309000000
A települési önkormányzatok kulturális feladatainak támogatása (K202010401);22680800000
A települési önkormányzatok kulturális feladatainak mûködési célú támogatása (K202010402);12628200000
Kiegészítõ célú egyéb önkormányzati támogatások (K2020105);13610000000
A Nemzeti Földalappal kapcsolatos kiadások (K20202);17730000000
NFA - Életjáradék termõföldért (K2020201);7700000000
NFA - Termõföld vásárlás (K2020202);4000000000
NFA - Egyéb kiadások (K2020203);6030000000
Ingatlanok fenntartásával járó kiadások (K202020301);700000000
Állami tulajdonú ingatlanvagyon felmérése és jogi rendezése (K202020302);900000000
Bírósági döntésbõl eredõ kiadások (K202020303);30000000
Egyéb vagyonkezelési kiadások (K202020304);1900000000
Értéknövelõ beruházások megtérítése (K202020305);2000000000
NFA - Fejezeti tartalék (K202020306);500000000
A Nemzeti Kutatási, Fejlesztési és Innovációs Alappal kapcsolatos kiadások (K20203);1,44E+11
NKFI - Kutatási Alaprész (K2020301);49466400000
NKFI - Innovációs alaprész (K2020302);65159200000
NKFI - Befizetés a központi költségvetésbe (K2020303);21177800000
NKFI - Alapkezelõnek átadott pénzeszköz (K2020304);2514300000
NKFI - Nemzeti Laboratóriumok Alaprész (K2020305);5629200000
A Bethlen Gábor Alappal (BGA) kapcsolatos kiadások (K20204);33830800000
BGA - Nemzetpolitikai célú támogatások (K2020401);25000000000
BGA - Mûködtetési célú kifizetések (K2020402);2283700000
BGA - Rákóczi Szövetség támogatása (K2020403);1050000000
BGA - Magyarság Háza program támogatása (K2020404);246600000
BGA - Határtalanul! program támogatása (K2020405);5250500000
A Központi Nukleáris Pénzügyi Alappal kapcsolatos kiadások (K20205);18157500000
